Brand,Latitude,Longitude,Nationality,Purpose,Number,Town
Wild Atlantic Way,52.34662,-9.6879,British,Business Trips,0,Abbeydorney.Co..Kerry
Irelands Ancient East,52.38618,-9.2971,British,Business Trips,936,Abbeyfeale.Co..Limerick.
Irelands Ancient East,52.91528,-7.3479,British,Business Trips,0,Abbeyleix.Co..Laois.
Wild Atlantic Way,53.96195,-10.0153,British,Business Trips,0,Achill.Island.Co..Mayo.
Irelands Ancient East,54.03646,-8.8967,British,Business Trips,0,Aclare.Co.Sligo.
Irelands Ancient East,52.56402,-8.7912,British,Business Trips,2528,Adare.Co..Limerick.
Wild Atlantic Way,51.69712,-9.7296,British,Business Trips,0,Adrigole.Co..Cork.
Irelands Ancient East,53.38813,-9.071,British,Business Trips,0,Annadown.Co..Galway.
Wild Atlantic Way,52.15108,-10.0568,British,Business Trips,2373,Annascaul.Co..Kerry.
Irelands Ancient East,52.14059,-7.2719,British,Business Trips,0,Annestown.Co..Waterford.
Wild Atlantic Way,53.09718,-9.6563,British,Business Trips,0,Aran.Islands.Co..Galway.
Irelands Ancient East,53.67106,-7.6962,British,Business Trips,0,Ardagh.Co.Longford
Wild Atlantic Way,54.76715,-8.4093,British,Business Trips,0,Ardara.Co..Donegal.
Irelands Ancient East,53.85762,-6.54,British,Business Trips,0,Ardee.Co.Louth.
Wild Atlantic Way,52.32695,-9.7807,British,Business Trips,0,Ardfert.Co..Kerry.
Irelands Ancient East,51.95107,-7.7253,British,Business Trips,0,Ardmore.Co..Waterford.
Irelands Ancient East,54.07634,-8.1125,British,Business Trips,0,Arigna.Co..Roscommon.
Irelands Ancient East,52.79769,-6.1599,British,Business Trips,0,Arklow.Co..Wicklow.
Wild Atlantic Way,54.98744,-8.5351,British,Business Trips,0,Arranmore.Co..Donegal.
Irelands Ancient East,52.24202,-6.9514,British,Business Trips,0,Arthurstown.Co..Wexford.
Irelands Ancient East,53.51116,-6.3974,British,Business Trips,0,Ashbourne.Co..Meath.
Irelands Ancient East,53.01079,-6.1083,British,Business Trips,0,Ashford.Co..Wicklow.
Irelands Ancient East,52.59545,-8.97,British,Business Trips,0,Askeaton.Co..Limerick.
Irelands Ancient East,53.62363,-6.9156,British,Business Trips,0,Athboy.Co..Meath.
Irelands Ancient East,52.99183,-6.9857,British,Business Trips,0,Athea.Co..Kildare.
Irelands Ancient East,53.30434,-8.7502,British,Business Trips,0,Athenry.Co..Galway.
Irelands Ancient East,53.42393,-7.9407,British,Business Trips,4119,Athlone.Co..Westmeath.
Irelands Ancient East,52.99183,-6.9857,British,Business Trips,0,Athy.Co..Kildare.
Irelands Ancient East,52.85593,-6.3259,British,Business Trips,0,Aughrim.Co..Wicklow.
Irelands Ancient East,52.85796,-6.213,British,Business Trips,0,Avoca.Co..Wicklow.
Irelands Ancient East,52.70311,-6.9559,British,Business Trips,0,Bagenalstown.Co..Carlow.
Irelands Ancient East,53.9017,-8.5792,British,Business Trips,0,Bailaghardereen.Co..Roscommon.
Irelands Ancient East,53.91561,-6.9693,British,Business Trips,0,Bailieborough.Co..Cavan.
Irelands Ancient East,53.60832,-6.1821,British,Business Trips,0,Balbriggan.Co..Dublin.
Dublin - Breath of Fresh Air,53.39867,-6.1273,British,Business Trips,1233,Baldoyle.Co..Dublin.
Irelands Ancient East,53.83753,-8.3794,British,Business Trips,0,Ballangare.Co..Roscommon.
Irelands Ancient East,54.11495,-9.1551,British,Business Trips,0,Ballina.Co..Mayo.
Irelands Ancient East,53.32876,-8.2269,British,Business Trips,851,Ballinasloe.Co..Galway.
Irelands Ancient East,53.02514,-8.2208,British,Business Trips,0,Ballinderry.Co..Tipperary.
Irelands Ancient East,53.66926,-8.9567,British,Business Trips,0,Ballindine.Co..Mayo.
Irelands Ancient East,52.58766,-7.5471,British,Business Trips,0,Ballingarry.Co..Tipperary.
Irelands Ancient East,53.53295,-6.9681,British,Business Trips,0,Ballinivor.Co..Meath.
Irelands Ancient East,53.74189,-8.6336,British,Business Trips,0,Ballinlough.Co..Roscommon.
Irelands Ancient East,53.62373,-9.2211,British,Business Trips,0,Ballinrobe.Co..Mayo.
Wild Atlantic Way,51.8244,-10.273,British,Business Trips,0,Ballinskelligs.Co..Kerry
Dublin - Breath of Fresh Air,53.27673,-6.2554,British,Business Trips,0,Ballinteer.Co..Dublin.
Irelands Ancient East,54.20065,-8.365,British,Business Trips,0,Ballintogher.Co..Sligo.
Irelands Ancient East,54.57885,-8.1243,British,Business Trips,0,Ballintrae.Co..Donegal.
Irelands Ancient East,53.71809,-8.4101,British,Business Trips,0,Ballintubber.Co..Roscommon.
Irelands Ancient East,54.21085,-8.5068,British,Business Trips,0,Ballisodare.Co..Sligo.
Irelands Ancient East,54.12946,-6.9028,British,Business Trips,0,Ballybay.Co..Monaghan.
Irelands Ancient East,54.79682,-7.7875,British,Business Trips,0,Ballybofey.Co..Donegal.
Irelands Ancient East,53.11539,-7.154,British,Business Trips,0,Ballybrittas.Co..Laois.
